DRG Definition,Provider Id,Provider Name,Provider Street Address,Provider City,Provider State,Provider Zip Code,Hospital Referral Region Description, Total Discharges , Average Covered Charges , Average Total Payments ,Average Medicare Payments
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230104,HARPER UNIVERSITY HOSPITAL,3990 JOHN R STREET,DETROIT,MI,48201,MI - Detroit,17,$27379.88,$10062.76,$9139.94
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230130,WILLIAM BEAUMONT HOSPITAL,3601 W THIRTEEN MILE RD,ROYAL OAK,MI,48073,MI - Royal Oak,64,$22950.46,$7543.17,$5886.01
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230141,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,MI - Flint,36,$26176.02,$7306.27,$6245.16
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230146,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,MI - Dearborn,19,$25710.78,$6327.68,$5439.05
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230151,BOTSFORD HOSPITAL,28050 GRAND RIVER AVENUE,FARMINGTON HILL,MI,48336,MI - Ann Arbor,23,$16450.91,$8475.00,$6895.52
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,MI - Ann Arbor,49,$31979.65,$6600.12,$5552.59
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230165,ST JOHN HOSPITAL AND MEDICAL CENTER,22101 MOROSS RD,DETROIT,MI,48236,MI - Detroit,32,$27995.59,$7926.62,$6459.46
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230167,MCLAREN - GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,MI - Lansing,25,$17711.48,$6997.72,$5683.08
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230195,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,11800 EAST TWELVE MILE ROAD,WARREN,MI,48093,MI - Detroit,14,$23259.85,$6661.78,$5707.50
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,MI - Flint,45,$24363.53,$7618.20,$6596.77
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230216,PORT HURON HOSPITAL,1221 PINE GROVE AVE,PORT HURON,MI,48060,MI - Detroit,23,$18607.73,$5952.08,$4828.43
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230222,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MI,48670,MI - Saginaw,22,$17693.45,$6807.95,$5989.04
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230227,MOUNT CLEMENS REGIONAL MEDICAL CENTER,1000 HARRINGTON BLVD,MOUNT CLEMENS,MI,48043,MI - Detroit,28,$27193.89,$6684.85,$5761.85
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230230,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,MI - Lansing,17,$28022.64,$7463.76,$6664.70
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230244,GARDEN CITY HOSPITAL,6245 INKSTER RD,GARDEN CITY,MI,48135,MI - Dearborn,21,$12591.04,$7145.33,$6288.95
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230254,CRITTENTON HOSPITAL MEDICAL CENTER,1101 W UNIVERSITY DRIVE,ROCHESTER,MI,48307,MI - Royal Oak,13,$21591.76,$6608.46,$4883.00
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230269,WILLIAM BEAUMONT HOSPITAL-TROY,44201 DEQUINDRE ROAD,TROY,MI,48085,MI - Royal Oak,42,$17569.95,$6303.11,$5158.09
039 - EXTRACRANIAL PROCEDURES W/O CC/MCC,230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSH,MI,48382,MI - Pontiac,15,$31908.66,$7582.93,$5140.66
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230002,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,LIVONIA,MI,48154,MI - Ann Arbor,28,$11901.82,$5529.17,$4325.82
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230019,PROVIDENCE HOSPITAL AND MEDICAL CENTERS,16001 W NINE MILE RD,SOUTHFIELD,MI,48075,MI - Royal Oak,28,$16185.60,$6918.53,$6075.25
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230020,OAKWOOD HOSPITAL AND MEDICAL CENTER,18101 OAKWOOD BLVD,DEARBORN,MI,48124,MI - Dearborn,49,$16753.91,$6694.59,$5960.48
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,MI - Detroit,22,$14041.63,$8260.90,$7392.00
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230029,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,PONTIAC,MI,48341,MI - Pontiac,23,$13317.34,$7161.52,$6230.56
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,MI - Saginaw,29,$12498.65,$5356.17,$4423.75
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",ANN ARBOR,MI,48109,MI - Ann Arbor,39,$25595.66,$11837.58,$7741.84
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,52,$10859.34,$5630.84,$4941.61
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,MI - Detroit,48,$16616.08,$8552.45,$7733.70
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230070,"COVENANT MEDICAL CENTER, INC",1447 N HARRISON,SAGINAW,MI,48602,MI - Saginaw,22,$15068.81,$5898.36,$4928.00
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230077,ST MARY'S OF MICHIGAN MEDICAL CENTER,800 S WASHINGTON AVENU,SAGINAW,MI,48601,MI - Saginaw,28,$19013.39,$5628.78,$4738.67
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230089,"BEAUMONT HOSPITAL, GROSSE POINTE",468 CADIEUX RD,GROSSE POINTE,MI,48230,MI - Detroit,21,$13145.04,$5524.19,$4777.14
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230099,MERCY MEMORIAL HOSPITAL SYSTEM,718 N MACOMB ST,MONROE,MI,48162,OH - Toledo,16,$9765.62,$5453.18,$4537.43
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230104,HARPER UNIVERSITY HOSPITAL,3990 JOHN R STREET,DETROIT,MI,48201,MI - Detroit,16,$23163.43,$11009.75,$8881.00
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230130,WILLIAM BEAUMONT HOSPITAL,3601 W THIRTEEN MILE RD,ROYAL OAK,MI,48073,MI - Royal Oak,100,$18647.05,$7146.53,$5748.51
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230141,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,MI - Flint,41,$13212.36,$6658.97,$5625.31
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230142,OAKWOOD ANNAPOLIS HOSPITAL,33155 ANNAPOLIS AVE,WAYNE,MI,48184,MI - Ann Arbor,14,$13278.35,$5737.21,$5018.64
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230146,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,MI - Dearborn,23,$13680.69,$5824.26,$4562.39
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230151,BOTSFORD HOSPITAL,28050 GRAND RIVER AVENUE,FARMINGTON HILL,MI,48336,MI - Ann Arbor,51,$9357.62,$7260.05,$6088.45
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,MI - Ann Arbor,30,$11562.86,$5829.23,$4932.16
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230165,ST JOHN HOSPITAL AND MEDICAL CENTER,22101 MOROSS RD,DETROIT,MI,48236,MI - Detroit,31,$19785.25,$7271.25,$6617.06
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230167,MCLAREN - GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,MI - Lansing,15,$17488.86,$6158.73,$5106.46
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230176,OAKWOOD SOUTHSHORE MEDICAL CENTER,5450 FORT STREET,TRENTON,MI,48183,MI - Dearborn,19,$17345.36,$7885.63,$4726.26
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230195,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,11800 EAST TWELVE MILE ROAD,WARREN,MI,48093,MI - Detroit,71,$14459.28,$6146.14,$5341.57
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,MI - Flint,24,$14878.62,$6985.29,$6142.95
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230216,PORT HURON HOSPITAL,1221 PINE GROVE AVE,PORT HURON,MI,48060,MI - Detroit,20,$17036.50,$5422.50,$4636.50
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230227,MOUNT CLEMENS REGIONAL MEDICAL CENTER,1000 HARRINGTON BLVD,MOUNT CLEMENS,MI,48043,MI - Detroit,19,$11030.15,$5896.68,$5365.52
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230230,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,MI - Lansing,20,$24040.70,$7027.90,$6048.60
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230244,GARDEN CITY HOSPITAL,6245 INKSTER RD,GARDEN CITY,MI,48135,MI - Dearborn,13,$15801.84,$7657.00,$4935.61
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230254,CRITTENTON HOSPITAL MEDICAL CENTER,1101 W UNIVERSITY DRIVE,ROCHESTER,MI,48307,MI - Royal Oak,23,$14502.47,$5629.04,$4848.52
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230269,WILLIAM BEAUMONT HOSPITAL-TROY,44201 DEQUINDRE ROAD,TROY,MI,48085,MI - Royal Oak,25,$18908.72,$5553.84,$4972.88
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,MI - Detroit,23,$18316.91,$8474.00,$7592.26
057 - DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC,230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,W BLOOMFIELD,MI,48322,MI - Royal Oak,15,$16187.73,$4882.80,$3906.00
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230002,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,LIVONIA,MI,48154,MI - Ann Arbor,40,$21713.07,$10566.97,$9850.92
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230019,PROVIDENCE HOSPITAL AND MEDICAL CENTERS,16001 W NINE MILE RD,SOUTHFIELD,MI,48075,MI - Royal Oak,78,$35669.14,$13484.38,$12612.26
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230020,OAKWOOD HOSPITAL AND MEDICAL CENTER,18101 OAKWOOD BLVD,DEARBORN,MI,48124,MI - Dearborn,110,$30751.90,$13175.21,$12555.29
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,MI - Detroit,54,$26476.33,$15694.98,$14861.20
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230029,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,PONTIAC,MI,48341,MI - Pontiac,72,$27533.04,$15003.41,$12664.61
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230031,ST JOSEPH MERCY PORT HURON,2601 ELECTRIC AVENUE,PORT HURON,MI,48060,MI - Detroit,18,$14995.05,$9741.05,$9054.61
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,MI - Saginaw,35,$32405.28,$10489.65,$9720.74
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",ANN ARBOR,MI,48109,MI - Ann Arbor,43,$55104.83,$19263.55,$18372.97
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,57,$24892.49,$11157.57,$10488.52
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,MI - Detroit,91,$53039.65,$18943.63,$17826.12
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230070,"COVENANT MEDICAL CENTER, INC",1447 N HARRISON,SAGINAW,MI,48602,MI - Saginaw,59,$31972.42,$11929.00,$11016.72
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230077,ST MARY'S OF MICHIGAN MEDICAL CENTER,800 S WASHINGTON AVENU,SAGINAW,MI,48601,MI - Saginaw,50,$40661.66,$12060.34,$11196.36
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230089,"BEAUMONT HOSPITAL, GROSSE POINTE",468 CADIEUX RD,GROSSE POINTE,MI,48230,MI - Detroit,24,$22790.33,$10452.70,$9652.20
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230099,MERCY MEMORIAL HOSPITAL SYSTEM,718 N MACOMB ST,MONROE,MI,48162,OH - Toledo,29,$21292.24,$11008.48,$9395.58
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230104,HARPER UNIVERSITY HOSPITAL,3990 JOHN R STREET,DETROIT,MI,48201,MI - Detroit,19,$35396.47,$20790.57,$20257.73
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230130,WILLIAM BEAUMONT HOSPITAL,3601 W THIRTEEN MILE RD,ROYAL OAK,MI,48073,MI - Royal Oak,170,$45654.95,$14698.23,$13504.15
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230132,HURLEY MEDICAL CENTER,ONE HURLEY PLAZA,FLINT,MI,48503,MI - Flint,26,$60778.11,$19498.00,$18678.15
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230141,MCLAREN FLINT,401 S BALLENGER HIGHWAY,FLINT,MI,48532,MI - Flint,72,$28611.72,$13449.68,$12618.36
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230142,OAKWOOD ANNAPOLIS HOSPITAL,33155 ANNAPOLIS AVE,WAYNE,MI,48184,MI - Ann Arbor,29,$29568.06,$11496.27,$10684.27
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230146,HENRY FORD WYANDOTTE HOSPITAL,2333 BIDDLE AVE,WYANDOTTE,MI,48192,MI - Dearborn,45,$28177.24,$11953.93,$11230.08
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230151,BOTSFORD HOSPITAL,28050 GRAND RIVER AVENUE,FARMINGTON HILL,MI,48336,MI - Ann Arbor,29,$19299.41,$14586.65,$13851.62
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230156,ST JOSEPH MERCY HOSPITAL,5301 E HURON RIVER DR,ANN ARBOR,MI,48106,MI - Ann Arbor,76,$29916.69,$11993.82,$11107.30
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230165,ST JOHN HOSPITAL AND MEDICAL CENTER,22101 MOROSS RD,DETROIT,MI,48236,MI - Detroit,93,$28526.19,$14348.26,$13562.67
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230167,MCLAREN - GREATER LANSING,401 W GREENLAWN AVE,LANSING,MI,48910,MI - Lansing,23,$47852.43,$14050.91,$12924.65
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230176,OAKWOOD SOUTHSHORE MEDICAL CENTER,5450 FORT STREET,TRENTON,MI,48183,MI - Dearborn,26,$28881.30,$11929.19,$11152.88
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230193,LAPEER REGIONAL MEDICAL CENTER,1375 N MAIN ST,LAPEER,MI,48446,MI - Flint,34,$28172.20,$10597.85,$9577.97
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230195,ST JOHN MACOMB-OAKLAND HOSPITAL-MACOMB CENTER,11800 EAST TWELVE MILE ROAD,WARREN,MI,48093,MI - Detroit,72,$36421.20,$12022.69,$11248.44
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230197,GENESYS REGIONAL MEDICAL CENTER - HEALTH PARK,ONE GENESYS PARKWAY,GRAND BLANC,MI,48439,MI - Flint,88,$28258.81,$13667.12,$12894.69
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230207,MCLAREN OAKLAND,50 NORTH PERRY,PONTIAC,MI,48342,MI - Pontiac,14,$41094.21,$16988.00,$16188.64
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230216,PORT HURON HOSPITAL,1221 PINE GROVE AVE,PORT HURON,MI,48060,MI - Detroit,31,$31154.61,$10983.51,$10223.90
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230222,MIDMICHIGAN MEDICAL CENTER-MIDLAND,4000 WELLNESS DRIVE,MIDLAND,MI,48670,MI - Saginaw,23,$24055.69,$12478.91,$11698.34
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230227,MOUNT CLEMENS REGIONAL MEDICAL CENTER,1000 HARRINGTON BLVD,MOUNT CLEMENS,MI,48043,MI - Detroit,83,$25617.39,$12359.77,$11559.33
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230230,EDWARD W SPARROW HOSPITAL,1215 E MICHIGAN AVENUE,LANSING,MI,48912,MI - Lansing,72,$40816.37,$13756.86,$12465.84
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230244,GARDEN CITY HOSPITAL,6245 INKSTER RD,GARDEN CITY,MI,48135,MI - Dearborn,18,$18776.77,$13061.77,$12188.44
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230254,CRITTENTON HOSPITAL MEDICAL CENTER,1101 W UNIVERSITY DRIVE,ROCHESTER,MI,48307,MI - Royal Oak,32,$37584.28,$11132.25,$10491.90
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230269,WILLIAM BEAUMONT HOSPITAL-TROY,44201 DEQUINDRE ROAD,TROY,MI,48085,MI - Royal Oak,41,$37966.12,$11309.29,$10217.58
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230270,OAKWOOD HERITAGE HOSPITAL,10000 TELEGRAPH ROAD,TAYLOR,MI,48180,MI - Dearborn,21,$23591.61,$10976.52,$10710.04
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230273,DETROIT RECEIVING HOSPITAL & UNIV HEALTH CENTER,4201 ST ANTOINE ST - 3M,DETROIT,MI,48201,MI - Detroit,45,$69861.42,$20552.04,$19753.42
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230277,HURON VALLEY-SINAI HOSPITAL,ONE WILLIAM CARLS DRIVE,COMMERCE TOWNSH,MI,48382,MI - Pontiac,25,$27732.24,$11830.24,$10976.36
064 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC,230302,HENRY FORD WEST BLOOMFIELD HOSPITAL,6777 WEST MAPLE ROAD,W BLOOMFIELD,MI,48322,MI - Royal Oak,30,$44855.83,$12653.66,$11857.20
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230002,ST MARY MERCY HOSPITAL,36475 FIVE MILE ROAD,LIVONIA,MI,48154,MI - Ann Arbor,85,$17558.29,$6746.75,$5858.60
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230019,PROVIDENCE HOSPITAL AND MEDICAL CENTERS,16001 W NINE MILE RD,SOUTHFIELD,MI,48075,MI - Royal Oak,160,$24956.64,$8591.45,$7531.65
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230020,OAKWOOD HOSPITAL AND MEDICAL CENTER,18101 OAKWOOD BLVD,DEARBORN,MI,48124,MI - Dearborn,99,$22958.29,$8259.64,$7360.58
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230024,SINAI-GRACE HOSPITAL,6071 W OUTER DRIVE,DETROIT,MI,48235,MI - Detroit,108,$17861.49,$9933.15,$8777.57
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230029,ST JOSEPH MERCY OAKLAND,44405 WOODWARD AVE,PONTIAC,MI,48341,MI - Pontiac,65,$20082.50,$8686.90,$7892.69
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230030,MIDMICHIGAN MEDICAL CENTER-GRATIOT,300 E WARWICK DR,ALMA,MI,48801,MI - Lansing,16,$13036.25,$9285.37,$8513.12
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230031,ST JOSEPH MERCY PORT HURON,2601 ELECTRIC AVENUE,PORT HURON,MI,48060,MI - Detroit,45,$12606.44,$6626.68,$5427.93
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230035,SPECTRUM HEALTH UNITED MEMORIAL - UNITED CAMPUS,615 S BOWER STREET,GREENVILLE,MI,48838,MI - Grand Rapids,13,$11913.00,$6700.76,$5917.07
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230041,MCLAREN BAY REGION,1900 COLUMBUS AVE,BAY CITY,MI,48708,MI - Saginaw,67,$22627.34,$6610.62,$5687.10
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230046,UNIVERSITY OF MICHIGAN HEALTH SYSTEM,"1500 E MEDICAL CENTER DRIVE, SPC 5474",ANN ARBOR,MI,48109,MI - Ann Arbor,71,$38730.43,$12405.61,$10828.81
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230047,HENRY FORD MACOMB HOSPITAL,15855 NINETEEN MILE RD,CLINTON TOWNSHI,MI,48038,MI - Detroit,108,$15929.23,$7395.62,$5988.63
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230053,HENRY FORD HOSPITAL,2799 W GRAND BLVD,DETROIT,MI,48202,MI - Detroit,129,$34296.87,$10654.53,$9660.47
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230069,SAINT JOSEPH MERCY LIVINGSTON HOSPITAL,620 BYRON RD,HOWELL,MI,48843,MI - Ann Arbor,16,$18005.50,$7569.12,$6447.12
065 - INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC,230070,"COVENANT MEDICAL CENTER, INC",1447 N HARRISON,SAGINAW,MI,48602,MI - Saginaw,89,$18345.76,$7339.05,$6430.47
